,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Dining Halls,,,,,,,
O'Hill,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,8AM-9PM,8AM-9PM
Fresh Food Co.,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-2:15PM,10AM-2PM,10AM-8PM
Runk,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,10AM-8PM,10AM-8PM
Language Houses,5:30PM-7PM,5:30PM-7PM,5:30PM-7PM,5:30PM-7PM,,,
JPJ Athletic Dining,5PM-8PM,5PM-8PM,5PM-8PM,5PM-8PM,,,5PM-8PM
Retail,,,,,,,
1819 Supply @ Claude Moore Medical Education,7:30AM-1:30PM,7:30AM-1:30PM,7:30AM-1:30PM,7:30AM-1:30PM,7:30AM-1:30PM,,
1819 Supply @ Newcomb,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,10AM-4PM,3PM-11PM
1819 Supply @ Runk,7AM-12AM,7AM-12AM,7AM-12AM,7AM-12AM,7AM-12AM,10AM-12AM,10AM-12AM
Alderman Café,8AM-11:30PM,8AM-11:30PM,8AM-11:30PM,8AM-11:30PM,8AM-5PM,12PM-6PM,1PM-11:30PM
Argo Tea,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-3PM,,
C3 at Lambeth,5PM-12AM,5PM-12AM,5PM-12AM,5PM-12AM,5PM-12AM,12PM-12AM,12PM-12AM
Café McLeod,8AM-2PM,8AM-2PM,8AM-2PM,8AM-2PM,8AM-2PM,,
Chick-fil-A in Pav XI,10:30AM-8PM,10:30AM-8PM,10:30AM-8PM,10:30AM-8PM,10:30AM-8PM,,
Clark Café,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-5PM,1PM-6PM,1PM-9PM
Crossroads,8AM-1AM,8AM-1AM,8AM-1AM,8AM-2AM,8AM-2AM,11AM-2AM,11AM-12AM
Crumbs on the Corner,4PM-12AM,4PM-12AM,4PM-12AM,4PM-12AM,4PM-12AM,4PM-12AM,4PM-12AM
Einstein Bros. Bagels @ The Bookstore,8:30AM-3PM,8:30AM-3PM,8:30AM-3PM,8:30AM-3PM,8:30AM-2PM,,
Einstein Bros. Bagels @ Rice Hall,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-3PM,,
Fine Arts Café in Campbell Hall,9AM-6:30PM,9AM-6:30PM,9AM-6:30PM,9AM-6:30PM,9AM-3PM,,
Five Guys in Pav XI,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,,
Garden Room,11:30AM-2PM,11:30AM-2PM,11:30AM-2PM,11:30AM-2PM,11:30AM-2PM,,
In The Nood,11AM-11PM,11AM-11PM,11AM-11PM,11AM-11PM,11AM-3PM,,
N2Go,11AM-10PM,11AM-10PM,11AM-10PM,11AM-10PM,11AM-8PM,2PM-8PM,
Poolside Café @ The AFC,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,,
Rising Roll @ New Cabell Hall,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-3PM,,
Sidley Austin Café ,8AM-2PM,8AM-2PM,8AM-2PM,8AM-2PM,8AM-2PM,,
Sidley Austin Café Greenberry's,8AM-2:30PM,8AM-2:30PM,8AM-2:30PM,8AM-2:30PM,8AM-2:30PM,,
Starbucks at Nau Hall,7:30AM-7PM,7:30AM-7PM,7:30AM-7PM,7:30AM-7PM,7:30AM-5PM,,
Street Eats Food Trucks,11AM-3PM,11AM-3PM,11AM-3PM,11AM-3PM,11AM-3PM,,
Subway in Pav XI,10:30AM-8PM,10:30AM-8PM,10:30AM-8PM,10:30AM-8PM,10:30AM-8PM,,
West Range Café,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-3PM,,
